category_label,category_source,changelog,creator,creator_slug,creator_url,description,features,gallery,image,is_free,last_updated,launched,marketplace_url,min_version,page_num,platforms,price_minecoins,price_ps_tokens,prices,published,rank_on_page,rating_count,rating_histogram,rating_positive_percent,rating_value,slug,tags,title,trailer_views,uid,url,video_url
,,,Pixelusion,pixelusion,https://chunk.gg/@pixelusion,"Add on your world +13 new biomes, mobs, structures & caves w/ MORE BIOMES Add-On!","Animals,Diverse Biomes,Fantasy,Forest,Procedural Generation,Tree,Fantasy Creatures","https://images.chunk.gg/products/pixelusion/more-biomes/thumbnail-f36cb42e3ee01329-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-1-b8caa5889cc2c349-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-2-f87b65f6c7eb5428-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-3-589acbfc92a35dd6-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-4-6705e0928a4d967f-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-5-ff12d36e55c17d4f-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-6-d35dcec0f0549e9a-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-7-7c8f70058cd9da54-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-8-ed3f676735d27127-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-9-2bc0bd49070c2cc9-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/screenshot-10-1e4be88001f2302d-640.jpg,https://images.chunk.gg/products/pixelusion/more-biomes/panorama-4f2140ab3cd5f0c3-1920.jpg",https://images.chunk.gg/products/pixelusion/more-biomes/thumbnail-f36cb42e3ee01329-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=90bfd8db-9ff1-4f56-a4ea-d0ea868832f5,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",1340,1340,"{'EUR': 6.62, 'USD': 7.02, 'GBP': 5.43, 'CAD': 9.78, 'AUD': 10.69}",2025-09-09T17:00:00.000Z,23,73,,,4.8,/@pixelusion/more-biomes,"Animals,Diverse Biomes,Fantasy,Forest,Procedural Generation,Tree,Fantasy Creatures",MORE BIOMES Add-On,27136,90bfd8db-9ff1-4f56-a4ea-d0ea868832f5,https://chunk.gg/@pixelusion/more-biomes,https://www.youtube.com/embed/SFOqq8Uc6iU?rel=0&amp;
,,,Street Studios,street-studios,https://chunk.gg/@street-studios,"Whether you're building or tearing down, planting or harvesting, Super Heavys machines can help! Add vehicles to your OWN world to work and do whatever you want... of course, wearing PPE!","Base Building,Destruction,Farming,Trucks,Vehicles,Building","https://images.chunk.gg/products/street-studios/super-heavys/thumbnail-e08e87c5c58db504-640.jpg,https://images.chunk.gg/products/street-studios/super-heavys/screenshot-1-550fed5ca9c5b590-640.jpg,https://images.chunk.gg/products/street-studios/super-heavys/screenshot-2-456d92dd297049cd-640.jpg,https://images.chunk.gg/products/street-studios/super-heavys/screenshot-3-2c516227503b2e09-640.jpg,https://images.chunk.gg/products/street-studios/super-heavys/screenshot-4-76e38f569299a510-640.jpg,https://images.chunk.gg/products/street-studios/super-heavys/screenshot-5-c068f7fab0df5014-640.jpg,https://images.chunk.gg/products/street-studios/super-heavys/screenshot-6-a8fb43fa4ac8ee90-640.jpg,https://images.chunk.gg/products/street-studios/super-heavys/screenshot-7-e4dca688b63c7678-640.jpg,https://images.chunk.gg/products/street-studios/super-heavys/screenshot-8-d1ba3998c00a759e-640.jpg,https://images.chunk.gg/products/street-studios/super-heavys/panorama-52b50935cc801e95-1920.jpg",https://images.chunk.gg/products/street-studios/super-heavys/thumbnail-e08e87c5c58db504-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=a2616858-18c6-4c57-b5ac-b6f531dfc4be,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",490,490,"{'EUR': 2.42, 'USD': 2.57, 'GBP': 1.98, 'CAD': 3.58, 'AUD': 3.91}",2025-08-26T17:00:00.000Z,24,22,,,3.3,/@street-studios/super-heavys,"Base Building,Destruction,Farming,Trucks,Vehicles,Building",Super Heavys Add-On,5124,a2616858-18c6-4c57-b5ac-b6f531dfc4be,https://chunk.gg/@street-studios/super-heavys,https://www.youtube.com/embed/lWPHLEqIlWs?rel=0&amp;
,,,Endorah,endorah,https://chunk.gg/@endorah,"Bring economy to Minecraft with banks, shops, floating items & holograms. Send, request & check coins!","Adventures,Economy,Fun,Friends,Games","https://images.chunk.gg/products/endorah/economy/thumbnail-751fe824d91c71c2-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-1-f9a7014fcbfd6e75-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-2-560ab0cb02084064-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-3-f086b4c49afb9944-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-4-b05cf1cfcf1ba702-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-5-1db60ace819497bf-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-6-d6195d0789f42ccc-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-7-c1a661f96373d9da-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-8-9b9f1f06d8ff6d11-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-9-6cec8d2fc336de2c-640.jpg,https://images.chunk.gg/products/endorah/economy/screenshot-10-bd34bbab529b430f-640.jpg,https://images.chunk.gg/products/endorah/economy/panorama-48124196f71597f2-960.jpg",https://images.chunk.gg/products/endorah/economy/thumbnail-751fe824d91c71c2-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=821cecaf-25ef-4b13-9773-52389fd9c4b9,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",310,310,"{'EUR': 1.53, 'USD': 1.62, 'GBP': 1.26, 'CAD': 2.26, 'AUD': 2.47}",2024-12-24T18:00:00.000Z,25,293,,,3.7,/@endorah/economy,"Adventures,Economy,Fun,Friends,Games",Economy Add-On,642,821cecaf-25ef-4b13-9773-52389fd9c4b9,https://chunk.gg/@endorah/economy,https://www.youtube.com/embed/dvFmczQZ9l8?rel=0&amp;
,,,FTB,ftb,https://chunk.gg/@ftb,Gear up for better storage! The popular Storage Drawers mod is finally available as an Add-On.,"Stores,Chest,Custom Blocks,Craftable Blocks,Inventory Management","https://images.chunk.gg/products/ftb/storage-drawers/thumbnail-bb4fbdfcad879081-640.jpg,https://images.chunk.gg/products/ftb/storage-drawers/screenshot-1-7f5a9a43e7482cd7-640.jpg,https://images.chunk.gg/products/ftb/storage-drawers/screenshot-2-6491ec061c8aab40-640.jpg,https://images.chunk.gg/products/ftb/storage-drawers/screenshot-3-d2d3919c6f548f63-640.jpg,https://images.chunk.gg/products/ftb/storage-drawers/screenshot-4-afae35d6885b79b2-640.jpg,https://images.chunk.gg/products/ftb/storage-drawers/screenshot-5-6e55f93d30529fe3-640.jpg,https://images.chunk.gg/products/ftb/storage-drawers/panorama-fb257a6c5bd811bc-1600.jpg",https://images.chunk.gg/products/ftb/storage-drawers/thumbnail-bb4fbdfcad879081-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=4a357d7e-174b-4075-81f2-4ba13cc412e8,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",490,490,"{'EUR': 2.42, 'USD': 2.57, 'GBP': 1.98, 'CAD': 3.58, 'AUD': 3.91}",2024-07-16T17:00:00.000Z,26,1652,,,4.6,/@ftb/storage-drawers,"Stores,Chest,Custom Blocks,Craftable Blocks,Inventory Management",Storage Drawers,,4a357d7e-174b-4075-81f2-4ba13cc412e8,https://chunk.gg/@ftb/storage-drawers,
,,,Logdotzip,logdotzip,https://chunk.gg/@logdotzip,Finally you can wield the most epic weapons in any Minecraft world! Blast blocks with the Creeperzooka! Ground smash with the Slime Slammer! Blow ‘em away with the Breeze Staff! Bowl through hordes with the Armadrillo! Or light up mobs with the Dragon Breather! Unleash power of the mobs!,"Allay Weapon,Axolotl Weapon,Camel Weapon,Mooshroom Weapon,Shulker Weapon,Witch Weapon,New weapons come with unique sounds and attack animations!,Mob genes to collect for the added weapons,Craftable Weapons,Mobs,Craftable Mobs,Craftable Tools,Custom Mobs,Crafting","https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/thumbnail-f3f585b243e5f8c7-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-1-8af4bb9001001581-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-2-9e201bfbee6bab40-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-3-9502f4e5fe986149-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-4-8d139f881f2ddd29-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-5-eabe79bbe8d5c634-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-6-b146b3775b8f6ce6-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-7-5a1d5c7469aacee7-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-8-5f96ac134801e127-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-9-b10a7e58e609fbc9-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/screenshot-10-48ad4116aa428f23-640.jpg,https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/panorama-26f750ad330972af-1920.jpg",https://images.chunk.gg/products/logdotzip/mob-weapons-v1-2/thumbnail-f3f585b243e5f8c7-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=fcf1e7a7-b669-4753-8485-75ace3c56f97,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",830,830,"{'EUR': 4.1, 'USD': 4.35, 'GBP': 3.36, 'CAD': 6.06, 'AUD': 6.62}",2024-09-10T17:00:00.000Z,27,5742,,,4.8,/@logdotzip/mob-weapons-v1-2,"Craftable Weapons,Mobs,Craftable Mobs,Craftable Tools,Custom Mobs,Crafting",Mob Weapons v1.2 Add-On,153699,fcf1e7a7-b669-4753-8485-75ace3c56f97,https://chunk.gg/@logdotzip/mob-weapons-v1-2,https://www.youtube.com/embed/JHiVh_Exet8?rel=0&amp;
,,,Street Studios,street-studios,https://chunk.gg/@street-studios,UPDATE! New pets for your OWN world! Have new cats and dogs in your world and have fun with your friends with this add-on! There are more 24 new Pets for you to cuddle and die of cuteness!,"New Beagle Dog,New Gray Tabby Cat,Added colorful beds for your pet,New Chicken toy,New Ball toy,New Knitted toy,Cat,Dog,Pets,Custom Pets","https://images.chunk.gg/products/street-studios/cats-and-dogs/thumbnail-73c28525707755e4-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/screenshot-1-d3cbe6ed3da2c6a0-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/screenshot-2-6e97d3f0de816499-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/screenshot-3-1a36e17a4c3a4e64-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/screenshot-4-2afd862b8884009d-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/screenshot-5-7a61c4e0e6657600-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/screenshot-6-f56209d57a0de80f-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/screenshot-7-ddca77a12545d2df-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/screenshot-8-a467cdb2d104ef99-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/screenshot-9-d0c9d9cf916de458-640.jpg,https://images.chunk.gg/products/street-studios/cats-and-dogs/panorama-694bb122ae0a0a63-1920.jpg",https://images.chunk.gg/products/street-studios/cats-and-dogs/thumbnail-73c28525707755e4-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=65ce3c5f-7797-4afd-8e4a-5d279becc28d,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",490,490,"{'EUR': 2.42, 'USD': 2.57, 'GBP': 1.98, 'CAD': 3.58, 'AUD': 3.91}",2024-09-17T17:00:00.000Z,28,274,,,4.1,/@street-studios/cats-and-dogs,"Cat,Dog,Pets,Custom Pets",Cats And Dogs Add-On!,,65ce3c5f-7797-4afd-8e4a-5d279becc28d,https://chunk.gg/@street-studios/cats-and-dogs,
,,,Logdotzip,logdotzip,https://chunk.gg/@logdotzip,"Enhance your world with these little robotic helpers pals. These craftable bots will mine for you, catch fish, grow food, chop trees, collect items, light up caves, defend you, heal you, even help you defeat the Ender Dragon. Add these companions to any world you want!","Utilities,Robots,Farming,Mining,Friends,Pets","https://images.chunk.gg/products/logdotzip/utility-bots/thumbnail-6d8d97a55718ae9a-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-1-f38cde943eba7f2a-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-2-48e185c4ba31cb11-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-3-77c383b262d3a880-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-4-6a7aa1a9c8234c87-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-5-2c2b8acd6e02af87-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-6-95023de4a60b1138-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-7-5ca403c6975c0e3a-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-8-78c77e67463e08cc-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-9-d553390733ec968c-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/screenshot-10-984cb5efd3643c1f-640.jpg,https://images.chunk.gg/products/logdotzip/utility-bots/panorama-79917ff136ea3cf2-1920.jpg",https://images.chunk.gg/products/logdotzip/utility-bots/thumbnail-6d8d97a55718ae9a-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=3c91af53-34c7-41c9-8f3a-240a98b7f6c3,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",830,830,"{'EUR': 4.1, 'USD': 4.35, 'GBP': 3.36, 'CAD': 6.06, 'AUD': 6.62}",2025-06-03T17:00:00.000Z,29,256,,,4.7,/@logdotzip/utility-bots,"Utilities,Robots,Farming,Mining,Friends,Pets",Utility Bots Add-On,,3c91af53-34c7-41c9-8f3a-240a98b7f6c3,https://chunk.gg/@logdotzip/utility-bots,https://www.youtube.com/embed/oXUTRnpzMUU?rel=0&amp;
,,,JWolf Creations,jwolf-creations,https://chunk.gg/@jwolf-creations,"Transform into a werewolf in any world! Craft the Lycan Forge to unlock fierce abilities - claw attacks, night vision, wall-climbing, and powerful howls.","Added Vibrant Visuals enhancements,Added Lunarburn Equipment,Added Copper Werewolf Armor,and more! Open the Guide Book and navigate to [About] -,[Changelog] for details.,Character Customization,Custom Resources,Custom Tools,Power,Defend","https://images.chunk.gg/products/jwolf-creations/lycanforge/thumbnail-12e094faa77140ed-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-1-9e26b14f5fc3dc81-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-2-4afe136645ad2539-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-3-7f8cb71a0eb12a72-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-4-650981052e574861-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-5-a6205e35220e74b9-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-6-bb5f27342ab93cc8-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-7-77aec7086af81d76-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-8-36abb0472e60608b-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-9-5c044951329d1809-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/screenshot-10-bf9367d7028a50e6-640.jpg,https://images.chunk.gg/products/jwolf-creations/lycanforge/panorama-704042f634ee09ba-1280.jpg",https://images.chunk.gg/products/jwolf-creations/lycanforge/thumbnail-12e094faa77140ed-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=1cb294e2-efe3-4b71-9099-52f7d034b3ed,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",830,830,"{'EUR': 4.1, 'USD': 4.35, 'GBP': 3.36, 'CAD': 6.06, 'AUD': 6.62}",2025-08-19T17:00:00.000Z,30,235,,,4.8,/@jwolf-creations/lycanforge,"Character Customization,Custom Resources,Custom Tools,Power,Defend",LycanForge Add-On,24913,1cb294e2-efe3-4b71-9099-52f7d034b3ed,https://chunk.gg/@jwolf-creations/lycanforge,https://www.youtube.com/embed/2Q_Ydp3jVGA?rel=0&amp;
,,,Cyclone,cyclone,https://chunk.gg/@cyclone,"Level up your Minecraft world with Magic Spells! From launching fireballs to summoning loyal minions and even controlling time. Whether battling mobs or simply exploring, take on any adventure with these new magical powers.","Unleash the forbidden with new dark spells and explore ancient ruins in search of rare loot!,Added 3 new large structures to explore.,Interact with 4 new spellcasting mobs.,Cast 2 new spells.,New items, gadgets and crafting recipes,Magic,Mythical,Utilities,Epic,Crafting,Craftable Armor,Custom Tools","https://images.chunk.gg/products/cyclone/magic-spells/thumbnail-b743c265c303a124-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/screenshot-1-1c6d6f7b5ccead73-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/screenshot-2-9fdd7896b7931444-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/screenshot-3-bc69d91f686e6c01-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/screenshot-4-20efb0b70a7f6815-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/screenshot-5-2c819b870f763ccb-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/screenshot-6-b144e09d5dc4852f-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/screenshot-7-a856da07ebd16c2a-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/screenshot-8-fea73680810b1966-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/screenshot-9-ce36ff2dd7abf5b7-640.jpg,https://images.chunk.gg/products/cyclone/magic-spells/panorama-47c46cd9dc787468-1280.jpg",https://images.chunk.gg/products/cyclone/magic-spells/thumbnail-b743c265c303a124-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=dd9821b7-e51e-4b5a-b0dd-9bb65dbb9ab6,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",990,990,"{'EUR': 4.89, 'USD': 5.19, 'GBP': 4.01, 'CAD': 7.23, 'AUD': 7.9}",2024-03-19T17:00:00.000Z,31,9470,,,4.7,/@cyclone/magic-spells,"Magic,Mythical,Utilities,Epic,Crafting,Craftable Armor,Custom Tools",Magic Spells,332674,dd9821b7-e51e-4b5a-b0dd-9bb65dbb9ab6,https://chunk.gg/@cyclone/magic-spells,https://www.youtube.com/embed/KRDLVWSvvYU?rel=0&amp;
,,,Hielke Maps,hielke-maps,https://chunk.gg/@hielke-maps,Tired of spending hours chopping trees in Minecraft? Wish there was a faster way to harvest wood?,"Added Visual Trunk Outline! See before you chop!,Now compatible with even more Add-Ons!,Tree,Utilities","https://images.chunk.gg/products/hielke-maps/treecapitator/thumbnail-4ef00141fc5daae9-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-1-5f1c409365d85ab1-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-2-2a77c2c58921ba8c-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-3-d584fed380325dda-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-4-d509b1f4be79ee87-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-5-ce607257d1bb32b5-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-6-d5b212e0e7cc902d-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-7-12b97f600d87a2df-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-8-712d0889e4f3d212-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-9-dcaace2451c2c523-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/screenshot-10-84939215cda8006c-640.jpg,https://images.chunk.gg/products/hielke-maps/treecapitator/panorama-6a2485fe47057099-1920.jpg",https://images.chunk.gg/products/hielke-maps/treecapitator/thumbnail-4ef00141fc5daae9-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=7093c4ee-0422-421c-a2ad-95140c96a1ac,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",310,310,"{'EUR': 1.53, 'USD': 1.62, 'GBP': 1.26, 'CAD': 2.26, 'AUD': 2.47}",2024-07-16T17:00:00.000Z,32,5248,,,4.8,/@hielke-maps/treecapitator,"Tree,Utilities",TreeCapitator Add-On,,7093c4ee-0422-421c-a2ad-95140c96a1ac,https://chunk.gg/@hielke-maps/treecapitator,
,,,5 Frame Studios,5-frame-studios,https://chunk.gg/@5-frame-studios,"Secure your base in any world! Security Add-On adds security cameras, password locked chests, lasers, pet guards, and even adds more!","Cameras now work in Creative Mode,Added new craftable structures,Added secret doors,New security decorations,New target settings on traps and equipment,Squashed various bugs and made quality of life improvements,Base,Secret,Secret Base,Base Building,Redstone,Defend,Crafting,Bunker","https://images.chunk.gg/products/5-frame-studios/security-addon/thumbnail-6d88ea1fbb6a0129-640.jpg,https://images.chunk.gg/products/5-frame-studios/security-addon/screenshot-1-4d7a1ab7ed283aad-640.jpg,https://images.chunk.gg/products/5-frame-studios/security-addon/screenshot-2-cb806ef401037a93-640.jpg,https://images.chunk.gg/products/5-frame-studios/security-addon/screenshot-3-f7df4e509c3d8d51-640.jpg,https://images.chunk.gg/products/5-frame-studios/security-addon/screenshot-4-d87e796e8b3644fb-640.jpg,https://images.chunk.gg/products/5-frame-studios/security-addon/screenshot-5-435b606f55324170-640.jpg,https://images.chunk.gg/products/5-frame-studios/security-addon/screenshot-6-a6bc57e5a1482283-640.jpg,https://images.chunk.gg/products/5-frame-studios/security-addon/panorama-d8a254e8f68d9a98-1600.jpg",https://images.chunk.gg/products/5-frame-studios/security-addon/thumbnail-6d88ea1fbb6a0129-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=e5886c47-1ea3-43d1-ba2a-9b79f210a8a0,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",1340,1340,"{'EUR': 6.62, 'USD': 7.02, 'GBP': 5.43, 'CAD': 9.78, 'AUD': 10.69}",2024-07-16T17:00:00.000Z,33,1560,,,4.4,/@5-frame-studios/security-addon,"Base,Secret,Secret Base,Base Building,Redstone,Defend,Crafting,Bunker",SECURITY Add-On,,e5886c47-1ea3-43d1-ba2a-9b79f210a8a0,https://chunk.gg/@5-frame-studios/security-addon,
,,,Octovon,octovon,https://chunk.gg/@octovon,"Experience this extreme Add-On that intensifies survival with thirst, limb damage, climate hazards, rotting food, and mobs that grow stronger over time. Food decays, injuries cripple, and biomes shape how you explore and endure.","Challenge,Craftable Armor,Custom Armor,Custom Consumables,Environmental,Hardcore,Food","https://images.chunk.gg/products/octovon/difficulty-brutal/thumbnail-6ed37752a740de3a-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/screenshot-1-af4403657290ea49-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/screenshot-2-9ea47d809dceee01-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/screenshot-3-eec8dcd0b389839e-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/screenshot-4-cd2537dfa0928814-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/screenshot-5-cd6de4a10153e949-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/screenshot-6-d9ce14c8f4211831-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/screenshot-7-d31ae0fec09eb35c-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/screenshot-8-28a7de52b415ca76-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/screenshot-9-a5c173a0119fd295-640.jpg,https://images.chunk.gg/products/octovon/difficulty-brutal/panorama-2aef26ce71926cf7-1920.jpg",https://images.chunk.gg/products/octovon/difficulty-brutal/thumbnail-6ed37752a740de3a-800.jpg,False,,Last Updated:,https://www.minecraft.net/marketplace/pdp?id=5477f524-e61e-44a8-9116-50767ec92145,,1,"Minecraft Bedrock Platforms,Minecraft on Android,Minecraft on PlayStation,Minecraft on iOS,Minecraft on Nintendo Switch,Minecraft on Oculus,Minecraft on Windows,Minecraft on Xbox",490,490,"{'EUR': 2.42, 'USD': 2.57, 'GBP': 1.98, 'CAD': 3.58, 'AUD': 3.91}",2025-06-24T17:00:00.000Z,34,935,,,4.5,/@octovon/difficulty-brutal,"Challenge,Craftable Armor,Custom Armor,Custom Consumables,Environmental,Hardcore,Food",Difficulty: Brutal Add-On,41656,5477f524-e61e-44a8-9116-50767ec92145,https://chunk.gg/@octovon/difficulty-brutal,https://www.youtube.com/embed/BBvXZqbG7wg?rel=0&amp;
